Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,Final de placa,CEP,Município,Bairro,url,Cor
"Carros, vans e utilitários",CHRYSLER TOWN & COUNTRY LIMITED 3.8 /3.6 V6 AUT.,CHRYSLER,,2012,152395,1.0,Gasolina,Automático,Hidráulica,4 portas,7,80740000,Curitiba,Seminário,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/chrysler-town-country-3-6-v6-aut-888087113,Preto
"Carros, vans e utilitários",GM - CHEVROLET SONIC SED. LTZ 1.6 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2014,101000,1.6,Flex,Automático,Elétrica,4 portas,1,87040011,Maringá,Vila Morangueira,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-sonic-seda-ltz-1-6-flex-2014-automatico-couro-multimidea-sem-detalhes-878609347,Branco
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO 1.6 MI/ S.OURO 1.6MI 101CV 8V 5P,VW - VOLKSWAGEN,Hatch,2003,150000,1.6,Gasolina,Manual,Hidráulica,4 portas,5,81230170,Curitiba,Campo Comprido,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/polo-1-6-2003-898776427,Branco
"Carros, vans e utilitários",BMW 528IA 2.0 TURBO 16V 245CV 4P,BMW,,2013,130000,1.0,Gasolina,Automático,Hidráulica,4 portas,3,82590300,Curitiba,Tarumã,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/bmw-528i-2-0-turbo-16v-2013-841661876,Preto
"Carros, vans e utilitários",FORD FIESTA SEL 1.6 16V FLEX MEC. 5P,FORD,Hatch,2017,43000,,Flex,Manual,Hidráulica,4 portas,7,80220001,Curitiba,Parolin,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-6-sel-hatch-16v-flex-4p-manual-831386678,Branco
"Carros, vans e utilitários",MERCEDES-BENZ ,MERCEDES-BENZ,Van/Utilitário,2012,300,,,,,,,85280000,Altamira do Paraná,,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/mercedes-benz-415-teto-alto-luxo-2012-abaixo-da-fipe-898776729,
"Carros, vans e utilitários",FIAT PALIO WEEKEND ADVENTURE LOCKER 1.8 FLEX,FIAT,Passeio,2010,239000,1.8,Flex,Manual,Hidráulica,4 portas,5,82410000,Curitiba,Santa Felicidade,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-adventure-locker-manual-1-8-2010-898776378,Prata
"Carros, vans e utilitários",VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,Passeio,1975,55000,1.3,Gasolina,Manual,Mecânica,,0,86045000,Londrina,Cafezal,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/fusca-76-bege-797967535,Outra
,,,,,,,,,,,,,,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/kwid-intense-2019-898776178,
"Carros, vans e utilitários",CITROEN XSARA PICASSO GLX 1.6/ 1.6 FLEX 16V,CITROEN,Van/Utilitário,2010,143000,1.6,Flex,Manual,Hidráulica,4 portas,0,85948000,Pato Bragado,,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/picasso-1-6-flex-ano-2010-896526855,Preto
