Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",RENAULT CLIO RN/ EXPRESSION 1.0 5P,RENAULT,2001,130000,1.0,Gasolina,Manual,Hidráulica,Vermelho,4 portas,2,93025296,São Leopoldo,Vicentina,7900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renault-clio-2001-898660507,Hatch
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,2012,1,1.0,Flex,Manual,Hidráulica,Branco,4 portas,8,93608610,Estância Velha,Rincão dos Ilhéus,25900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/fiesta-rebaixado-853984162,Hatch
"Carros, vans e utilitários",FORD FOCUS 2.0 16V/ 2.0 16V FLEX 5P,FORD,2008,111111,,Gasolina,Automático,,,4 portas,9,98700000,Ijuí,,23500.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/focus-2008-2008-2-0-glx-sedan-16v-gasolina-4p-automatico-892859405,Passeio
"Carros, vans e utilitários",FIAT UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P,FIAT,2015,62000,1.4,Flex,Automático,Hidráulica,Vermelho,4 portas,6,93210240,Sapucaia do Sul,Primor,43900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/uno-sporting-2015-1-4-automatico-893667258,Hatch
"Carros, vans e utilitários",FORD FIESTA 1.0 8V FLEX/CLASS 1.0 8V FLEX 5P,FORD,2008,144792,1.0,Flex,Manual,Hidráulica,Prata,4 portas,4,94760000,Viamão,Águas Claras,14900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/carro-898660674,Passeio
"Carros, vans e utilitários",VW - VOLKSWAGEN NIVUS HIGHLINE 1.0 200 TSI FLEX AUT,VW - VOLKSWAGEN,2021,0,1.0,Flex,Automático,Elétrica,Branco,4 portas,,95560000,Torres,,115900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/nivus-highline-200tsi-2021-0km-871686695,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF GTI 2.0 TSI 220CV AUT.,VW - VOLKSWAGEN,2015,84000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Branco,4 portas,0,93608350,Estância Velha,Rincão dos Ilhéus,120000.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/golf-gti-pacote-premium-2015-top-856964788,Hatch
"Carros, vans e utilitários",CHERY TIGGO 8 TXS 1.6 TURBO TGDI AUT,CHERY,2022,0,,Gasolina,Automático,,,4 portas,,95041028,Caxias do Sul,Universitário,183990.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-8-1-6-tgdi-txs-865815648,Passeio
"Carros, vans e utilitários",RENAULT CLIO AUTHENTIQUE HI-FLEX 1.0 16V 5P,RENAULT,2009,97000,1.0,Flex,Manual,Hidráulica,Preto,,3,93265226,Esteio,São Sebastião,18990.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/clio-1-0-completo-837998433,Hatch
"Carros, vans e utilitários",HYUNDAI SANTA FE GLS 3.5 V6 4X4 TIPTRONIC,HYUNDAI,2011,76000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Preto,4 portas,0,97050531,Santa Maria,Nossa Senhora das Dores,49500.0,https://rs.olx.com.br/regioes-de-santa-maria-uruguaiana-e-cruz-alta/autos-e-pecas/carros-vans-e-utilitarios/hyundai-santa-fe-2011-4x4-v6-285-cv-895002072,SUV
