Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Final de placa,CEP,Município,price,url,Portas,Bairro
"Carros, vans e utilitários",VW - VOLKSWAGEN CROSSFOX I MOTION 1.6 MI T. FLEX 8V 5P,VW - VOLKSWAGEN,Hatch,2013,165000,1.6,Flex,Automático,Elétrica,Branco,6,49250000,Indiaroba,33500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/vende-se-crossfox-12-13-894450142,4 portas,
"Carros, vans e utilitários",RENAULT CAPTUR INTENSE 1.6 16V FLEX 5P AUT.,RENAULT,SUV,2019,11000,1.6,Flex,Automático,Hidráulica,Outra,5,49055180,Aracaju,84000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/captur-intense-2019-11-000-km-894453472,4 portas,Getúlio Vargas
"Carros, vans e utilitários",HONDA CITY SEDAN PERSONAL 1.5 FLEX 16V AUT.,HONDA,Passeio,2018,54000,1.6,Flex,Semi-Automático,Elétrica,Preto,7,49087463,Aracaju,0.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/titan-2017-2018-troco-em-carro-fox-hb20-onix-gol-assumo-as-parcelas-do-carro-894446074,2 portas,Santos Dumont
"Carros, vans e utilitários",TOYOTA ETIOS XLS SEDAN 1.5 FLEX 16V 4P MEC.,TOYOTA,Sedã,2014,122000,1.5,Flex,Manual,Elétrica,Prata,5,49055520,Aracaju,35000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-xls-1-5-mt-2013-troco-e-financio-aprovacao-imediata-880414279,4 portas,Getúlio Vargas
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 3P,VW - VOLKSWAGEN,Hatch,2011,136000,1.0,Flex,Manual,Hidráulica,Vermelho,8,49030100,Aracaju,21700.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/fox-trend-completo-2011-894434400,2 portas,Farolândia
"Carros, vans e utilitários",KIA MOTORS SORENTO EX 2.5 140/170CV 4X4 AUT.DIESEL,KIA MOTORS,SUV,2009,260000,2.0 - 2.9,Diesel,Automático,Hidráulica,Preto,9,49010490,Aracaju,45000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/kia-sorento-ex-2-5-aut-diesel-889611575,4 portas,Centro
"Carros, vans e utilitários",FORD FIESTA TITANIUM 1.6 16V FLEX MEC.,FORD,Sedã,2011,120000,1.6,Flex,Manual,Hidráulica,Preto,8,49790000,Aquidabã,28000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-2011-vendo-ou-troco-894430755,4 portas,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2019,52000,1.0,Flex,Manual,Elétrica,Branco,5,49060000,Aracaju,53000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-0-891624379,4 portas,Santo Antônio
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE 1.0 MPFI VHC 8V 5P,GM - CHEVROLET,Hatch,2009,107000,1.0,Flex,Manual,Hidráulica,Prata,3,49140000,Barra dos Coqueiros,17000.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/celta-894425190,4 portas,
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2019,14400,1.0,Flex,Manual,Elétrica,Preto,8,49045430,Aracaju,36500.0,https://se.olx.com.br/sergipe/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-1-0-2019-894428488,4 portas,Luzia
