Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2017,70000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,76810164,Porto Velho,Novo Horizonte,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-16-2017-893489648,5
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,SUV,2017,56000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,76876700,Ariquemes,Grandes Áreas,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-longitude-2017-893481915,2
"Carros, vans e utilitários", ,,,2011,230000,2.0 - 2.9,Diesel,Manual,Hidráulica,Prata,4 portas,76812565,Porto Velho,Três Marias,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vende-se-uma-amarok-893466095,3
"Carros, vans e utilitários",FIAT STRADA ADVENTURE1.8/ 1.8 LOCKER FLEX CD,FIAT,Pick-up,2019,20000,1.8,Flex,Manual,Hidráulica,Branco,2 portas,76806114,Porto Velho,Floresta,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/strada-adventure-893452052,0
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO,VW - VOLKSWAGEN,Van/Utilitário,2000,100,1.8,Gasolina,Manual,,Prata,2 portas,76828752,Porto Velho,Jardim Santana,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-essa-saveiro-12mil-urgente-informacoes-no-cel-893456330,2
"Carros, vans e utilitários",NISSAN VERSA S 1.0 12V FLEXSTART 4P MEC.,NISSAN,Sedã,2016,100000,1.0,Flex,Manual,Elétrica,Preto,4 portas,76860000,Candeias do Jamari,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/nissan-versa-s-2016-893468766,5
"Carros, vans e utilitários",CITROEN C4 GLX 2.0 FLEX 16V 5P AUT.,CITROEN,Hatch,2010,106000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,76817001,Porto Velho,Bairro Novo,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/citroen-c4-hact-glx-automatico-2-0-893449074,8
"Carros, vans e utilitários",TOYOTA HILUX CD SR D4-D 4X4 3.0  TDI DIES.,TOYOTA,Hatch,2013,105000,3.0 - 3.9,Diesel,Automático,Hidráulica,Azul,4 portas,76808460,Porto Velho,Eletronorte,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hilux-2013-2013-srv-893446421,4
"Carros, vans e utilitários",JEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.,JEEP,SUV,2020,12000,2.0 - 2.9,Diesel,Automático,Elétrica,Prata,4 portas,76850000,Guajará-Mirim,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/compass-limited-diesel-2020-893444625,4
"Carros, vans e utilitários",HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,Hatch,2015,83000,1.5,Flex,Automático,Elétrica,Branco,4 portas,76807864,Porto Velho,Cohab,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-ex-893438427,8
"Carros, vans e utilitários",FIAT PALIO ESSENCE 1.6 FLEX 16V 5P,FIAT,Passeio,2011,94000,,Flex,Manual,,,4 portas,76811742,Porto Velho,Eldorado,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/palio-2011-2011-1-6-mpi-essence-16v-flex-4p-manual-893425605,9
"Carros, vans e utilitários",FORD KA SEL 1.5 16V FLEX 5P,FORD,Sedã,2019,59000,1.5,Flex,Manual,Hidráulica,Branco,4 portas,76940000,Rolim de Moura,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-5-sedan-rolim-de-moura-893429249,8
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF SPORTLINE 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2010,150000,1.6,Flex,Manual,Hidráulica,Preto,4 portas,76817001,Porto Velho,Bairro Novo,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/golf-1-6-spotline-2009-2010-893431877,0
"Carros, vans e utilitários",FIAT STRADA,FIAT,,2017,110000,,,,,,,76920000,Ouro Preto do Oeste,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/strada-1-4-cs-hard-working-893419503,
"Carros, vans e utilitários",TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,Pick-up,2017,126601,2.0 - 2.9,Diesel,Automático,,Prata,4 portas,76964298,Cacoal,Village do Sol,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-16-17-893426121,
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2010,120000,1.0,Gasolina,Manual,Hidráulica,Prata,4 portas,76813580,Porto Velho,Mariana,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-2010-893424394,2
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH ACTIV 1.4 8V FLEX 5P MEC.,GM - CHEVROLET,Hatch,2018,88000,1.4,Flex,Manual,Elétrica,Branco,4 portas,76920000,Ouro Preto do Oeste,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/onix-activ-1-4-flex-2018-893424038,3
"Carros, vans e utilitários",VW - VOLKSWAGEN NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT,VW - VOLKSWAGEN,SUV,2021,0,1.0,Flex,Automático,Elétrica,Branco,4 portas,76940000,Rolim de Moura,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/nivus-comfortline-200-tsi-893412604,
